name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Barselona,2023-06-30T00:00:00,20.9,20.9,16,73.5,0,0,,0,0,24.1,13.8,74,1016.1,12.8,16.6,0,0,0,,Clear,clear-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-06-30T01:00:00,21.9,21.9,15.4,66.59,0,0,,0,0,14,13,345,1016.5,25,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999"
Barselona,2023-06-30T02:00:00,19.7,19.7,16.3,81.02,0,0,,0,0,51.8,15.6,23,1016.7,46.6,10,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08176399999"
Barselona,2023-06-30T03:00:00,19.2,19.2,17.6,90.39,0,0,,0,0,16.2,6.6,266,1015.8,40.2,14.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-06-30T04:00:00,19,19,17.1,88.93,0,0,,0,0,23.8,11.8,308,1015.6,25,16.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-06-30T05:00:00,18.7,18.7,16.9,89.1,0,0,,0,0,23,15,319,1015.6,45.6,14,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-06-30T06:00:00,19.3,19.3,16.9,85.71,0,0,,0,0,15.1,11.9,332,1015.6,75.3,16.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-06-30T07:00:00,19.7,19.7,16.5,81.63,0,0,,0,0,13.3,11.8,292,1015.7,88.7,16.6,18,0.1,0,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T08:00:00,20.6,20.6,16.5,77.37,5.7,100,rain,0,0,3.6,10.4,293,1016,85.8,16.6,27,0.1,0,,"Rain, Partially cloudy",rain,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T09:00:00,21.4,21.4,16.1,71.87,0,0,,0,0,15.1,13,295,1016.4,75.4,16.6,85,0.3,1,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T10:00:00,22.8,22.8,15.9,64.88,0,0,,0,0,4,8.7,304,1016.6,62.1,15,277,1,3,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T11:00:00,24.2,24.2,16.6,62.34,0,0,,0,0,8.3,10.8,303,1016.6,46.5,11.7,426,1.5,4,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T12:00:00,24.8,24.8,16.9,61.45,0,0,,0,0,20.9,10.5,257,1016.6,66.7,16.6,697,2.5,7,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T13:00:00,25.4,25.4,16.5,57.96,0,0,,0,0,23,12.6,232,1016.7,35.4,12.7,829,3,8,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T14:00:00,25.2,25.2,16.6,58.74,0,0,,0,0,20.5,11.4,172,1017,70.3,16.6,680,2.4,7,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T15:00:00,25.4,25.4,16.7,58.61,0,0,,0,0,20.9,15.3,149,1016.4,66.7,16.6,792,2.9,8,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T16:00:00,25.6,25.6,16.8,58.22,0,0,,0,0,19.4,18.1,154,1016.1,66.7,16.3,755,2.7,8,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T17:00:00,25.6,25.6,17.2,59.81,0,0,,0,0,18.7,17.9,163,1015.7,37.6,16.6,646,2.3,6,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T18:00:00,25.1,25.1,17.3,61.84,0,0,,0,0,19.1,18.9,169,1015.1,41.3,16.6,513,1.8,5,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T19:00:00,25.2,25.2,17.2,61.06,0,0,,0,0,21.2,15.2,180,1015,41.3,16.6,346,1.2,3,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T20:00:00,24.8,24.8,18,65.92,0,0,,0,0,26.6,15.1,164,1015,63,16.6,175,0.6,2,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T21:00:00,24.3,24.3,17.6,65.93,0,0,,0,0,24.1,13.6,168,1015.4,56.8,10,43,0.2,0,,Partially cloudy,partly-cloudy-day,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T22:00:00,23.8,23.8,18.7,73.42,0,0,,0,0,25.2,14.2,189,1015.7,38,15,7,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,D1298,LELL,08181099999,08176399999"
Barselona,2023-06-30T23:00:00,23.5,23.5,19.4,77.64,0,0,,0,0,25.2,13.4,192,1016.6,50,14,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-07-01T00:00:00,23.3,23.3,19.2,77.73,0,0,,0,0,23.8,10.9,186,1016.5,25,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-07-01T01:00:00,23.3,23.3,19.1,77.16,0,0,,0,0,20.5,10.1,166,1016.2,41.3,15,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-07-01T02:00:00,22.9,22.9,16.9,68.78,0,0,,0,0,21.6,11.6,81,1015.7,61.2,16.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
Barselona,2023-07-01T03:00:00,20.6,20.6,18,85.07,0,0,,0,0,28.4,17.4,81,1016.5,73.9,16.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LEBL,LELL,08181099999,08176399999"
